ID_track_FK,ID_artist_FK,role
1,79,main
2,79,main
3,79,main
4,79,main
5,79,main
6,79,main
7,79,main
8,79,main
9,79,main
10,79,main
11,79,main
12,79,main
13,79,main
14,79,main
15,79,main
16,79,main
17,79,main
18,79,main
19,79,main
20,79,main
21,79,main
22,79,main
23,79,main
24,79,main
25,79,main
26,79,main
27,79,main
28,79,main
29,79,main
30,79,main
31,79,main
32,79,main
33,79,main
34,79,main
35,79,main
36,79,main
37,79,main
38,79,main
39,79,main
40,79,main
41,79,main
42,79,main
43,79,main
44,79,main
45,79,main
46,79,main
47,79,main
48,79,main
49,79,main
50,79,main
51,79,main
52,79,main
53,79,main
54,79,main
55,79,main
56,79,main
57,79,main
58,79,main
59,79,main
60,79,main
61,79,main
62,79,main
63,79,main
64,79,main
65,79,main
66,79,main
67,79,main
68,79,main
69,79,main
70,79,main
126,3,main
127,3,main
128,3,main
129,3,main
130,3,main
131,3,main
132,3,main
133,3,main
134,3,main
135,3,main
136,3,main
137,3,main
138,3,main
139,3,main
140,3,main
141,3,main
142,3,main
143,3,main
144,3,main
145,3,main
146,3,main
147,3,main
148,3,main
149,3,main
150,3,main
151,3,main
152,3,main
153,3,main
154,3,main
155,3,main
156,3,main
157,3,main
158,3,main
159,3,main
160,3,main
161,3,main
162,3,main
163,3,main
164,3,main
165,3,main
166,3,main
167,3,main
168,3,main
169,3,main
170,3,main
171,3,main
172,3,main
173,3,main
174,3,main
175,3,main
176,3,main
177,3,main
178,3,main
179,3,main
180,3,main
181,3,main
182,3,main
183,3,main
184,3,main
185,3,main
186,3,main
187,3,main
188,3,main
189,3,main
190,3,main
191,3,main
192,3,main
193,3,main
194,3,main
195,3,main
196,3,main
197,3,main
198,92,main
199,92,main
200,92,main
201,92,main
202,92,main
203,92,main
204,92,main
205,92,main
206,92,main
207,92,main
208,92,main
209,92,main
210,92,main
211,92,main
212,92,main
213,92,main
214,92,main
215,92,main
216,92,main
217,92,main
218,92,main
219,92,main
220,92,main
221,92,main
222,92,main
223,92,main
224,92,main
225,92,main
226,92,main
227,92,main
228,92,main
229,92,main
230,92,main
231,92,main
232,92,main
233,92,main
234,92,main
235,92,main
236,92,main
237,92,main
238,92,main
239,92,main
240,92,main
241,92,main
242,92,main
243,92,main
244,92,main
245,92,main
246,92,main
247,92,main
248,92,main
249,92,main
250,92,main
251,92,main
252,92,main
253,92,main
254,92,main
255,92,main
256,92,main
257,92,main
258,92,main
259,92,main
260,92,main
261,92,main
262,92,main
263,92,main
264,92,main
265,92,main
266,92,main
267,92,main
268,92,main
269,92,main
270,92,main
271,92,main
272,92,main
273,92,main
274,92,main
275,92,main
276,92,main
277,92,main
278,92,main
279,92,main
280,92,main
281,92,main
282,92,main
283,92,main
284,92,main
285,92,main
286,92,main
287,92,main
288,92,main
289,92,main
290,92,main
291,92,main
292,92,main
293,92,main
294,92,main
295,92,main
296,92,main
297,92,main
298,92,main
299,92,main
300,99,main
301,99,main
302,99,main
303,99,main
304,99,main
305,99,main
306,99,main
307,99,main
308,99,main
309,99,main
310,99,main
311,99,main
312,99,main
313,99,main
314,99,main
315,99,main
316,99,main
317,99,main
318,99,main
319,99,main
320,99,main
321,99,main
322,51,main
323,51,main
324,51,main
325,51,main
326,51,main
327,51,main
328,51,main
329,51,main
330,51,main
331,51,main
332,51,main
333,51,main
334,51,main
335,51,main
336,51,main
337,51,main
338,51,main
339,51,main
340,51,main
341,51,main
342,51,main
343,51,main
344,51,main
345,51,main
346,51,main
347,51,main
348,51,main
349,51,main
350,51,main
351,51,main
352,51,main
353,51,main
354,51,main
355,51,main
356,51,main
357,51,main
358,51,main
359,51,main
360,51,main
361,51,main
362,51,main
363,51,main
364,51,main
365,51,main
366,51,main
367,51,main
368,51,main
369,51,main
370,51,main
371,51,main
372,51,main
373,51,main
374,51,main
375,51,main
376,51,main
377,51,main
378,51,main
379,51,main
380,51,main
381,51,main
382,51,main
383,51,main
384,51,main
385,51,main
386,51,main
387,51,main
388,51,main
389,51,main
390,51,main
391,51,main
392,51,main
393,51,main
394,51,main
